Company,Ticker,Sector,Filing_Year,Paragraph_id,Passage,AI_keywords,risk_category,disclosure_quality,annotation
Airbnb,ABNB,Consumer Services,2023,13,"There is increased governmental interest in regulating technology companies in areas including platform content, data privacy, data security, intellectual property protection, ethical marketing, tax, data localization and data access, artificial intelligence or algorithm-based bias or discrimination, competition, and real estate broker related activities.","artificial intelligence, algorithm",Regulation,2.0,Expanded regulatory-interest list incl. AI/algorithm-based bias
Airbnb,ABNB,Consumer Services,2023,14,"Changes to search engine algorithms or similar actions are not within our control, and could adversely affect our search-engine rankings and traffic to our platform.","algorithm, algorithms",Other,1.0,Third-party search-engine algorithm risk
Airbnb,ABNB,Consumer Services,2023,15,"If the internal systems and tools we use to track these metrics undercount or overcount performance or contain algorithmic or other technical errors, the data we report may not be accurate.","AI, algorithm, algorithmic",Accuracy/Reliability,2.0,Duplicate metric-accuracy passage
Airbnb,ABNB,Consumer Services,2023,16,"Our metrics, including our reported Nights and Experiences Booked, GBV, and active listings, may include fraudulent bookings, accounts, and other activities that have not been flagged by our trust and safety teams or identified by our machine learning algorithms or not yet addressed by our operational teams, which could mean these activities on our site are not identified or addressed in a timely manner or at all, reducing the accuracy of our metrics.","machine learning, algorithm, algorithms",Accuracy/Reliability,2.0,Duplicate fraud-detection ML passage
Airbnb,ABNB,Consumer Services,2023,17,"Our business also increasingly relies on machine learning, artificial intelligence, and automated decision making to improve our services and tailor our interactions with our customers.","artificial intelligence, AI, machine learning",Other,1.0,"Descriptive reliance on ML/AI, no risk stated"
Airbnb,ABNB,Consumer Services,2023,18,"New laws, guidance, and/or decisions in this area may limit our ability to use our machine learning and artificial intelligence, or require us to make changes to our platform or operations that may decrease our operational efficiency, result in an increase to operating costs and/or hinder our ability to improve our services.","artificial intelligence, machine learning",Regulation,3.0,Duplicate specific regulation-may-limit-AI passage
Airbnb,ABNB,Consumer Services,2023,19,"Our platform is a complex system composed of many interoperating components and software, including algorithms that incorporate machine learning and exhibit characteristics of artificial intelligence.","artificial intelligence, machine learning, algorithm, algorithms",Other,1.0,Descriptive platform/AI components passage
Airbnb,ABNB,Consumer Services,2023,20,"Meeting the community support expectations of our Hosts and guests requires significant time and resources from our community support team and significant investment in staffing, technology, including automation and machine learning to improve efficiency, infrastructure, policies, and community support tools.","machine learning, automation",Cost/Investment,1.0,Duplicate descriptive investment passage
Airbnb,ABNB,Consumer Services,2023,21,Our service is staffed based on complex algorithms that map to our business forecasts.,"algorithm, algorithms",Other,1.0,Duplicate descriptive algorithms passage
Airbnb,ABNB,Consumer Services,2023,22,"Our future success will also depend on our ability to adapt to emerging technologies such as tokenization, cryptocurrencies, new authentication technologies, such as biometrics, distributed ledger and blockchain technologies, artificial intelligence, virtual and augmented reality, and cloud technologies.","artificial intelligence, AI",Other,1.0,Duplicate generic forward-looking passage
Airbnb,ABNB,Consumer Services,2024,23,"There is also increased governmental interest in regulating technology companies in areas including platform content, data privacy, data security, intellectual property protection, ethical marketing, tax, data localization and data access, AI or algorithm-based bias or discrimination, competition, and real estate broker related activities.","AI, algorithm",Regulation,2.0,Expanded regulatory-interest list incl. AI/algorithm-based bias
Airbnb,ABNB,Consumer Services,2024,24,"Our use of AI, machine learning, and automated decision making gives rise to legal, business, and operational risks.","AI, machine learning",Other,1.0,"Generic: AI/ML/automated decision making gives rise to legal, business, operational risks, no detail"
Airbnb,ABNB,Consumer Services,2024,25,"Legal, regulatory, social and ethical issues relating to the use of AI and machine learning technologies in our offerings and business may result in reputational harm and liability.","AI, machine learning",Bias/Ethics,2.0,"Legal, regulatory, social, ethical issues may cause reputational harm/liability"
Airbnb,ABNB,Consumer Services,2024,26,"The rapid evolution of AI and machine learning will require the application of resources to develop, test, and maintain our offerings to help ensure that AI and machine learning are implemented responsibly in order to minimize unintended or harmful impacts.","AI, machine learning",Bias/Ethics,2.0,Need to implement AI/ML responsibly to minimize unintended/harmful impacts
Airbnb,ABNB,Consumer Services,2024,27,"Uncertainty around new and emerging AI applications may require additional investment in the development of proprietary datasets, machine learning models, and systems to test for accuracy, bias, and other variables, which are often complex, may be costly, and could impact our profit margin as we expand the use of AI technologies in our offerings.","AI, machine learning, AI technologies",Cost/Investment,3.0,"Specific: costly investment in datasets/models/testing for accuracy and bias, impacts profit margin"
Airbnb,ABNB,Consumer Services,2024,28,"Developing, testing, and deploying AI technologies may also increase our costs due to the associated computing costs.","AI, AI technologies",Cost/Investment,2.0,Increased computing costs from developing/deploying AI
Airbnb,ABNB,Consumer Services,2024,29,"In particular, AI or automated decision making technologies may be incorrectly designed or implemented; may be trained or reliant on incomplete, inadequate, inaccurate, biased, or otherwise poor quality data or on data to which the developer does not have sufficient rights; and/or may be adversely impacted by unforeseen defects, technical challenges, cyber security threats, or material performance issues.",AI,Accuracy/Reliability,3.0,"Specific: AI may be incorrectly designed, trained on biased/poor data, have defects or performance issues"
Airbnb,ABNB,Consumer Services,2024,30,"Our ability to continue to develop or use such technologies may be dependent on access to technology offered by vendors and specific third-party software and infrastructure, such as processing hardware or third-party AI models, and we cannot control the quality of vendor offerings or the availability or pricing of such third-party software and infrastructure, especially in a highly competitive environment.","AI, AI model, AI models",Third-Party/Vendor,3.0,"Specific: dependent on vendors/third-party AI models and infrastructure, limited control over quality/pricing"
Airbnb,ABNB,Consumer Services,2024,31,We face competition from other companies in our industry who use similar machine learning technologies to us.,machine learning,Competitive,2.0,Competes with companies using similar ML technologies
Airbnb,ABNB,Consumer Services,2024,32,"Failure to offer or deploy new AI technologies as effectively as our competitors could adversely affect our business. 18 Table of Contents In addition, market acceptance and consumer perceptions of AI and machine learning technologies are uncertain.","AI, machine learning, AI technologies",Competitive,3.0,Specific: failure to deploy AI as effectively as competitors could hurt business; market acceptance uncertain
Airbnb,ABNB,Consumer Services,2024,33,"AI technologies, including generative AI, may create content or information that appears correct but is factually inaccurate or flawed.","AI, generative AI, AI technologies",Accuracy/Reliability,3.0,Specific: generative AI content may appear correct but be factually inaccurate/flawed
Airbnb,ABNB,Consumer Services,2024,34,"The use of AI technologies presents emerging ethical and social issues, and if we enable or offer solutions that draw scrutiny or controversy due to their perceived or actual impact on our customers or on society as a whole, we may experience brand or reputational harm, competitive harm, consumer complaints, legal liability, and other adverse consequences, any of which could materially adversely affect our business, results of operations, and financial condition.","AI, AI technologies",Bias/Ethics,3.0,"Specific: ethical/social scrutiny could cause brand, competitive, legal harm"
Airbnb,ABNB,Consumer Services,2024,35,"Our business also increasingly relies on machine learning, AI, and automated decision making to improve our services and tailor our interactions with our Hosts and guests.","AI, machine learning",Other,1.0,"Descriptive reliance on ML/AI, no risk stated"
Airbnb,ABNB,Consumer Services,2024,36,"However, in recent years the use of personal data to train, or otherwise in connection with machine learning, AI and automated decision making, has come under increased regulatory scrutiny, and governments and regulators in the United States, European Union, and other places have announced the need for greater regulation regarding the use of machine learning and AI generally.","AI, machine learning",Regulation,2.0,Use of personal data to train AI under increased regulatory scrutiny
Airbnb,ABNB,Consumer Services,2024,37,"New laws, guidance, and decisions in this area may limit our ability to use our machine learning and AI, or require us to make changes to our platform or operations that may decrease our operational efficiency, result in an increase to operating costs and/or hinder our ability to improve our services.","AI, machine learning",Regulation,3.0,"Specific: new laws may limit AI use, increase costs"
Airbnb,ABNB,Consumer Services,2024,38,Other global privacy laws allow individuals the right to opt out of certain automated processing of personal data and create other requirements that impact automated decision-making.,"AI, automated decision-making",Privacy,2.0,Privacy laws give individuals opt-out rights re: automated processing of personal data
Airbnb,ABNB,Consumer Services,2024,39,"At the federal level, the president of the United States recently issued an Executive Order on the Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence, which charges multiple agencies, including The National Institute of Standards and Technology, with producing guidelines in connection with the development and use of AI.","artificial intelligence, AI",Regulation,3.0,Specific: cites U.S. Executive Order on AI development/use
Airbnb,ABNB,Consumer Services,2024,40,"In the European Union, there is now political agreement on the EU Artificial Intelligence Act (“EU AI Act”), which establishes a comprehensive, risk-based governance framework for AI in the EU market.","artificial intelligence, AI",Regulation,3.0,Specific: cites EU AI Act political agreement
Airbnb,ABNB,Consumer Services,2024,41,"The EU AI Act is expected to enter into force in 2024, and the majority of the substantive requirements will apply two years later.",AI,Regulation,2.0,EU AI Act timeline for entry into force
Airbnb,ABNB,Consumer Services,2024,42,"The EU AI Act will apply to companies that develop, use and/or provide AI in the European Union and includes requirements around transparency, conformity assessments and monitoring, risk assessments, human oversight, security, accuracy, general purpose AI and foundation models, and proposes fines for breach of up to 7% of worldwide annual turnover (revenue).","AI, foundation model, foundation models",Regulation,3.0,Highly specific: EU AI Act requirements and fines up to 7% of global revenue
Airbnb,ABNB,Consumer Services,2024,43,"Additionally, in September 2022, the European Commission proposed two Directives seeking to establish a harmonized civil liability regime for AI in the European Union, in order to facilitate civil claims in respect of harm caused by AI and to include AI-enabled products within the scope of the European Union’s existing strict liability regime.",AI,Regulation,3.0,Specific: proposed EU AI civil liability regime
Airbnb,ABNB,Consumer Services,2024,44,"Once fully applicable, the EU AI Act will have a material impact on the way AI is regulated in the European Union, and together with developing guidance and/or decisions in this area, may affect our use of AI and our ability to provide, improve, or commercialize our services, and could require additional compliance measures and changes to our operations and processes.",AI,Regulation,3.0,Specific: EU AI Act's material impact on operations/compliance
Airbnb,ABNB,Consumer Services,2024,45,"Moreover, the intellectual property ownership and license rights, including copyright, surrounding AI technologies has not been fully addressed by courts or laws or regulations, and the use or adoption of AI technologies into our offerings may result in exposure to claims of copyright infringement or other intellectual property misappropriation.","AI, AI technologies",Intellectual Property,3.0,"Specific: unresolved AI copyright/IP ownership issues, infringement exposure"
Airbnb,ABNB,Consumer Services,2024,46,"As the legal and regulatory framework for AI and automated decision making evolves, we may not always be able to anticipate how to respond to these laws or regulations, and compliance may adversely impact our operations and involve significant expenditure and resources.",AI,Regulation,2.0,Evolving AI legal framework may require significant compliance expenditure
Airbnb,ABNB,Consumer Services,2024,47,"Meeting the community support expectations of our Hosts and guests requires significant time and resources from our community support team and significant investment in staffing, technology, including automation and machine learning to improve efficiency, infrastructure, policies, and community support tools.","machine learning, automation",Cost/Investment,1.0,Duplicate descriptive investment passage
Airbnb,ABNB,Consumer Services,2024,48,"Our service is powered, in large part, based on complex algorithms that map to our business forecasts.","algorithm, algorithms",Other,1.0,Descriptive: service powered by complex algorithms
Airbnb,ABNB,Consumer Services,2024,49,"If the internal systems and tools we use to track these metrics undercount or overcount performance or contain algorithmic or other technical errors, the data we report may not be accurate.","AI, algorithm, algorithmic",Accuracy/Reliability,2.0,Duplicate metric-accuracy passage
Airbnb,ABNB,Consumer Services,2024,50,"Our metrics, including our reported Nights and Experiences Booked, GBV, and active listings, may include fraudulent bookings, accounts, and other activities that have not been flagged by our trust and safety teams or identified by our machine learning algorithms or not yet addressed by our operational teams, which could mean these activities on our site are not identified or addressed in a timely manner or at all, reducing the accuracy of our metrics.","machine learning, algorithm, algorithms",Accuracy/Reliability,2.0,Duplicate fraud-detection ML passage
Airbnb,ABNB,Consumer Services,2024,51,"Additionally, we note that as the use of AI continues to grow, data protection regulators may take an increased interest in how we process personal data of our users and/ or hosts.",AI,Privacy,2.0,Growing AI use may draw regulator interest in personal data processing
Airbnb,ABNB,Consumer Services,2024,52,"This may affect our use of AI and our ability to provide, improve or commercialize our services effectively and efficiently and result in increased costs.",AI,Regulation,2.0,Regulatory effect on AI use could raise costs and affect service delivery
Airbnb,ABNB,Consumer Services,2024,53,"The evolution of technology systems introduces ever more complex security risks that are difficult to predict and defend against, including AI.",AI,Cybersecurity,2.0,"AI adds complex, hard-to-predict security risks"
Airbnb,ABNB,Consumer Services,2024,54,"However, advances in computer capabilities, increasingly sophisticated tools and methods used by hackers and cyber terrorists, new discoveries in the field of cryptography and AI, or other developments may result in our failure or inability to adequately protect sensitive data.",AI,Cybersecurity,3.0,Specific: hackers/cyber terrorists leveraging AI/cryptography advances could defeat data protection
Airbnb,ABNB,Consumer Services,2024,55,"Our platform is a complex system composed of many interoperating components and software, including algorithms that incorporate machine learning and exhibit characteristics of AI.","AI, machine learning, algorithm, algorithms",Other,1.0,Duplicate descriptive platform/AI components passage
Airbnb,ABNB,Consumer Services,2024,56,"Changes to search engine algorithms or similar actions are not within our control, and could adversely affect our search-engine rankings and traffic to our platform.","algorithm, algorithms",Other,1.0,Duplicate third-party search-engine algorithm risk
Airbnb,ABNB,Consumer Services,2024,57,"Our future success will also depend on our ability to adapt to emerging technologies such as tokenization, cryptocurrencies, new authentication technologies, such as biometrics, distributed ledger and blockchain technologies, AI, virtual and augmented reality, and cloud technologies.",AI,Other,1.0,Duplicate generic forward-looking passage
Alphabet,GOOGL,Technology,2022,58,"In addition, new and evolving products and services, including those that use AI and machine learning, raise ethical, technological, legal, regulatory, and other challenges, which may negatively affect our brands and demand for our products and services.","AI, machine learning",Bias/Ethics,2.0,"New AI/ML products raise ethical, technological, legal, regulatory challenges affecting brand/demand"
Alphabet,GOOGL,Technology,2022,59,We are continually launching algorithmic changes designed to detect and prevent abuse from low-quality websites.,"algorithm, algorithmic",Other,1.0,Descriptive: launches algorithmic changes to combat low-quality-website abuse
Alphabet,GOOGL,Technology,2022,60,"Other countries, including Singapore, Australia, and the United Kingdom, have implemented or are considering similar legislation imposing penalties for failure to remove certain types of content. •Various legislative, litigation, and regulatory activity regarding our Google Play billing policies and business model, which could result in monetary penalties, damages and/or prohibition. •Various legislative and regulatory activity requiring disclosure of information about the operation of our services and algorithms, which may make it easier for websites to artificially promote low-quality, deceptive, or harmful content on services like Google Search and YouTube, potentially harming the quality of our services.","AI, algorithm, algorithms",Regulation,3.0,Specific: multiple countries' content-removal/disclosure laws affecting algorithm transparency
Alphabet,GOOGL,Technology,2023,61,"The investments that we are making across our businesses, such as in AI, reflect our ongoing efforts to innovate and provide products and services that are useful to users, advertisers, publishers, customers, and content providers.",AI,Other,1.0,Descriptive: AI investment reflects innovation efforts
Alphabet,GOOGL,Technology,2023,62,"In addition, new and evolving products and services, including those that use AI, require significant investment and raise ethical, technological, legal, regulatory, and other challenges, which may negatively affect our brands and demand for our products and services.",AI,Bias/Ethics,2.0,AI products require investment and raise ethical/legal/regulatory challenges
Alphabet,GOOGL,Technology,2023,63,We are continually launching algorithmic changes designed to detect and prevent abuse from low-quality websites.,"algorithm, algorithmic",Other,1.0,Duplicate descriptive algorithmic-change passage
Alphabet,GOOGL,Technology,2023,64,"Examples include laws and regulations regarding: •Competition and technology platforms’ business practices: Laws and regulations focused on large technology platforms, including the Digital Markets Act in the European Union (EU); regulations in South Korea and elsewhere that affect Google Play’s billing policies, fees, and business model; as well as regulations under consideration in a range of jurisdictions. •Data privacy, collection, and processing: Laws and regulations further restricting the collection, processing, and/or sharing of user or advertising-related data, including privacy and data protection laws, laws affecting the processing of children's data (as discussed further below), data breach notification laws, and laws limiting data transfers (including data localization laws). •Copyright and other intellectual property: Copyright and related laws, including the EU Directive on Copyright in the Digital Single Market and European Economic Area transpositions, which may introduce new licensing regimes, increase liability with respect to content uploaded by users or linked to from our platforms, or create property rights in news publications that could require payments to news agencies and publishers. •Content moderation: Various laws covering content moderation and removal, and related disclosure obligations, such as the EU's Digital Services Act, Florida’s Senate Bill 7072 and Texas’ House Bill 20, and laws and proposed legislation in Singapore, Australia, and the United Kingdom that impose penalties for failure to remove certain types of content or require disclosure of information about the operation of our services and algorithms, which may make it harder for services like Google Search and YouTube to detect and deal with low-quality, deceptive, or harmful content. •Consumer protection: Consumer protection laws, including the EU’s New Deal for Consumers, which could result in monetary penalties and create a range of new compliance obligations.","AI, algorithm, algorithms",Regulation,3.0,"Highly specific: names DMA, privacy laws, EU Copyright Directive, DSA, Florida/Texas laws, consumer protection laws"
Alphabet,GOOGL,Technology,2024,65,We are expanding our investment in AI across the entire company.,AI,Cost/Investment,1.0,Descriptive: expanding AI investment company-wide
Alphabet,GOOGL,Technology,2024,66,This includes generative AI and continuing to integrate AI capabilities into our products and services.,"AI, generative AI",Other,1.0,Descriptive: integrating generative AI capabilities
Alphabet,GOOGL,Technology,2024,67,"AI technology and services are highly competitive, rapidly evolving, and require significant investment, including development and operational costs, to meet the changing needs and expectations of our existing users and attract new users.","AI, AI technology",Competitive,2.0,AI market highly competitive and requires significant investment to meet user needs
Alphabet,GOOGL,Technology,2024,68,Our ability to deploy certain AI technologies critical for our products and services and for our business strategy may depend on the availability and pricing of third-party equipment and technical infrastructure.,"AI, AI technologies",Third-Party/Vendor,2.0,AI deployment depends on availability/pricing of third-party equipment and infrastructure
Alphabet,GOOGL,Technology,2024,69,"Additionally, other companies may develop AI products and technologies that are similar or superior to our technologies or more cost-effective to deploy.",AI,Competitive,2.0,Competitors may develop superior or more cost-effective AI products
Alphabet,GOOGL,Technology,2024,70,"Other companies may also have (or in the future may obtain) patents or other proprietary rights that would prevent, limit, or interfere with our ability to make, use, or sell our own AI products and services.",AI,Intellectual Property,3.0,Specific: competitors' patents could block company's own AI products/services
Alphabet,GOOGL,Technology,2024,71,"The investments that we are making across our businesses, such as building AI capabilities into new and existing products and services, reflect our ongoing efforts to innovate and provide products and services that are helpful to users, advertisers, publishers, customers, and content providers.",AI,Other,1.0,Descriptive: AI investment reflects innovation efforts
Alphabet,GOOGL,Technology,2024,72,"Within Google Cloud, we devote significant resources to develop and deploy our enterprise-ready cloud services, including Google Cloud Platform and Google Workspace, and we are advancing our AI platforms and models to support these tools and technologies.",AI,Cost/Investment,1.0,Descriptive: resources devoted to advancing AI platforms/models
Alphabet,GOOGL,Technology,2024,73,"In addition, new and evolving products and services, including those that use AI, raise ethical, technological, legal, regulatory, and other challenges, which may negatively affect our brands and demand for our products and services.",AI,Bias/Ethics,2.0,Duplicate: AI raises ethical/legal/regulatory challenges affecting brand/demand
Alphabet,GOOGL,Technology,2024,74,Issues in the development and use of AI may result in reputational harm and increased liability exposure.,AI,Bias/Ethics,1.0,Generic: AI issues may cause reputational harm and liability
Alphabet,GOOGL,Technology,2024,75,"Our evolving AI-related efforts may give rise to risks related to harmful content, inaccuracies, discrimination, intellectual property infringement or misappropriation, defamation, data privacy, cybersecurity, and other issues.",AI,Bias/Ethics,3.0,"Specific: enumerates harmful content, inaccuracy, discrimination, IP infringement, defamation, privacy, cybersecurity risks"
Alphabet,GOOGL,Technology,2024,76,"As a result of these and other challenges associated with innovative technologies, our implementation of AI systems could subject us to competitive harm, regulatory action, legal liability (including under new and proposed legislation and regulations), new applications of existing data protection, privacy, intellectual property, and other laws, and brand or reputational harm.","AI, AI system, AI systems",Regulation,3.0,"Specific: AI implementation could bring competitive harm, regulatory action, legal liability under new/existing laws"
Alphabet,GOOGL,Technology,2024,77,Some uses of AI will present ethical issues and may have broad effects on society.,AI,Bias/Ethics,1.0,Generic: some AI uses present ethical issues with broad societal effects
Alphabet,GOOGL,Technology,2024,78,"In order to implement AI responsibly and minimize unintended harmful effects, we have already devoted and will continue to invest significant resources to develop, test, and maintain our products and services, but we may not be able to identify or resolve all AI-related issues, deficiencies, and/or failures before they arise.",AI,Bias/Ethics,2.0,"Investing to implement AI responsibly, but may not resolve all AI-related issues before they arise"
Alphabet,GOOGL,Technology,2024,79,"Unintended consequences, uses, or customization of our AI tools and systems may negatively affect human rights, privacy, employment, or other social concerns, which may result in claims, lawsuits, brand or reputational harm, and increased regulatory scrutiny, any of which could harm our business, financial condition, and operating results.",AI,Bias/Ethics,3.0,"Specific: unintended AI consequences may affect human rights, privacy, employment, causing claims/lawsuits/regulatory scrutiny"
Alphabet,GOOGL,Technology,2024,80,"We continue to add new features involving AI to our offerings and internal systems, and features that rely on AI may be susceptible to unanticipated security threats as our and the market’s understanding of AI-centric security risks and protection methods continue to develop.",AI,Cybersecurity,2.0,New AI features may be susceptible to unanticipated security threats
Alphabet,GOOGL,Technology,2024,81,Increased use of AI in our offerings and internal systems may create new avenues of abuse for bad actors.,AI,Cybersecurity,2.0,Increased AI use may create new avenues of abuse for bad actors
Alphabet,GOOGL,Technology,2024,82,"We are continually launching algorithmic changes designed to detect and prevent abuse from low-quality websites, but we may not always be successful.","algorithm, algorithmic",Other,1.0,Duplicate descriptive algorithmic-change passage
Alphabet,GOOGL,Technology,2024,83,"In recent years, governments around the world have proposed and adopted a large number of new laws and regulations relevant to the digital economy, particularly in the areas of data privacy and security, competition, environmental, social and governance (ESG) requirements, AI, and online content.",AI,Regulation,1.0,Boilerplate list of regulatory focus areas including AI
Alphabet,GOOGL,Technology,2024,84,"Table of Contents Alphabet Inc. settlements in the U.S., South Korea, and elsewhere that affect Google Play’s billing policies, fees, and business model; as well as litigation and new regulations under consideration in a range of jurisdictions. •AI: Laws and regulations focused on the development, use, and provision of AI technologies and other digital products and services, which could result in monetary penalties or other regulatory actions.","AI, AI technologies",Regulation,3.0,Specific: AI-focused laws/regulations could result in monetary penalties
Alphabet,GOOGL,Technology,2024,85,"For example, while legislative text has yet to be finalized and formally approved, provisional political agreement on a proposed EU AI Act was reached between co-legislators in December 2023, including that specific transparency and other requirements would be introduced for general purpose AI systems and the models on which those systems are based.","AI, AI system, AI systems",Regulation,3.0,"Specific: EU AI Act provisional agreement, transparency requirements for general purpose AI"
Alphabet,GOOGL,Technology,2024,86,"In addition, the White House's Executive Order on the Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence devises a framework for the U.S. government, among other things, to regulate private sector use and development of certain foundation models. •Data privacy, collection, and processing: Laws and regulations further restricting the collection, processing, and/or sharing of user or advertising-related data, including privacy and data protection laws; laws affecting the processing of children's data (as discussed further below), data breach notification laws, and laws limiting data transfers (including data localization laws). •Copyright and other intellectual property: Copyright and related laws, including the EU Directive on Copyright in the Digital Single Market and European Economic Area transpositions, which may introduce new licensing regimes, increase liability with respect to content uploaded by users or linked to from our platforms, or create property rights in news publications that could require payments to news agencies and publishers, which may result in other regulatory actions. •Content moderation: Various laws covering content moderation and removal, and related disclosure obligations, such as the EU's Digital Services Act, Florida’s Senate Bill 7072 and Texas’ House Bill 20, and laws and proposed legislation in Singapore, Australia, and the United Kingdom that impose penalties for failure to remove certain types of content or require disclosure of information about the operation of our services and algorithms, which may make it harder for services like Google Search and YouTube to detect and deal with low-quality, deceptive, or harmful content. •Consumer protection: Consumer protection laws, including the EU’s New Deal for Consumers, which could result in monetary penalties and create a range of new compliance obligations.","artificial intelligence, AI, foundation model, foundation models, algorithm, algorithms",Regulation,3.0,Highly specific: White House AI Executive Order plus named data/copyright/content laws
Alphabet,GOOGL,Technology,2024,87,"Our development, use, and commercialization of AI products and services (including our implementation of AI in our offerings and internal systems) could subject us to regulatory action and legal liability, including under specific legislation regulating AI, as well as new applications of existing data protection, cybersecurity, privacy, intellectual property, and other laws.",AI,Regulation,3.0,Specific: AI development/commercialization could trigger regulatory action and legal liability under named law categories
Alphabet,GOOGL,Technology,2024,88,"We are also subject to a variety of claims including product warranty, product liability, and consumer protection claims related to product defects, among other litigation, and we may also be subject to claims involving health and safety, hazardous materials usage, other environmental effects, AI training, development, and commercialization, or service disruptions or failures.",AI,Regulation,2.0,"Exposure to claims/litigation including those related to AI training, development, commercialization"
Apple,AAPL,Technology,2022,,,,,,
Apple,AAPL,Technology,2023,89,"The Company’s global operations are subject to complex and changing laws and regulations on subjects, including antitrust; privacy, data security and data localization; consumer protection; advertising, sales, billing and e-commerce; financial services and technology; product liability; intellectual property ownership and infringement; digital platforms; machine learning and artificial intelligence; internet, telecommunications and mobile communications; media, television, film and digital content; availability of third-party software applications and services; labor and employment; anticorruption; import, export and trade; foreign exchange controls and cash repatriation restrictions; anti–money laundering; foreign ownership and investment; tax; and environmental, health and safety, including electronic waste, recycling, product design and climate change.","artificial intelligence, AI, machine learning",Regulation,1.0,Boilerplate list of many regulated topics; AI/ML mentioned as one item
Apple,AAPL,Technology,2024,90,"The introduction of new and complex technologies, such as artificial intelligence features, can increase these and other safety risks, including exposing users to harmful, inaccurate or other negative content and experiences.",artificial intelligence,Accuracy/Reliability,2.0,AI features may expose users to harmful or inaccurate content
